(106;46;0)
(106;47;833)
(107;49;848)
(108;51;849)
(109;53;866)
(110;55;866)
(110;56;882)
(111;57;882)
(112;59;882)
(112;59;898)
(112;60;898)
(113;61;915)
(113;61;915)
(113;62;932)
(113;63;932)
(114;63;948)
(114;64;949)
(114;64;966)
(114;64;966)
(114;64;966)
(114;65;982)
(114;65;982)
(114;65;998)
(115;65;998)
(115;65;1015)
(115;65;1015)
(115;66;1032)
(116;66;1032)
(116;67;1048)
(117;68;1048)
(117;69;1065)
(117;70;1065)
(118;70;1065)
(118;71;1082)
(119;72;1083)
(119;72;1098)
(120;73;1098)
(120;73;1115)
(121;74;1115)
(121;75;1115)
(121;75;1131)
(122;76;1132)
(122;77;1149)
(122;77;1149)
(123;78;1165)
(123;78;1165)
(124;79;1182)
(124;80;1182)
(125;80;1182)
(125;80;1198)
(125;81;1199)
(125;81;1215)
(125;81;1215)
(126;81;1232)
(126;82;1232)
(126;83;1249)
(127;83;1249)
(127;84;1249)
(128;85;1265)
(128;85;1265)
(129;86;1282)
(130;87;1282)
(130;88;1298)
(131;88;1299)
(131;89;1315)
(131;90;1316)
(132;90;1332)
(132;90;1332)
(132;91;1349)
(133;91;1349)
(133;92;1349)
(133;92;1365)
(133;92;1365)
(134;93;1382)
(134;93;1382)
(134;93;1399)
(134;93;1399)
(135;94;1415)
(135;95;1415)
(136;96;1415)
(136;96;1432)
(137;97;1432)
(137;98;1448)
(138;98;1449)
(138;98;1465)
(138;98;1465)
(138;99;1481)
(138;99;1482)
(139;100;1482)
(139;100;1499)
(139;101;1499)
(140;101;1514)
(140;101;1515)
(140;101;1532)
(140;101;1532)
(140;101;1549)
(140;101;1549)
(140;101;1549)
(140;102;1565)
(140;102;1566)
(140;102;1582)
(140;102;1582)
(140;102;1599)
(140;102;1599)
(141;102;1615)
(141;103;1615)
(142;104;1632)
(142;104;1632)
(143;105;1649)
(143;105;1649)
(143;106;1649)
(143;106;1665)
(143;106;1665)
(143;106;1682)
(143;106;1682)
(143;106;1699)
(143;106;1699)
(143;106;1715)
(143;106;1716)
(143;106;1716)
(143;106;1731)
(143;106;1732)
(143;106;1748)
(143;106;1748)
(143;106;1765)
(143;106;1765)
(143;106;1782)
(143;106;1782)
(143;106;1782)
(143;106;1799)
(143;106;1799)
(143;106;1815)
(143;106;1815)
(143;106;1832)
(143;106;1832)
(143;106;1849)
(143;106;1849)
(143;106;1865)
(143;106;1865)
(143;107;1865)
(142;108;1882)
(142;109;1882)
(141;110;1899)
(141;110;1899)
(141;111;1915)
(140;112;1916)
(140;113;1931)
(140;113;1932)
(140;114;1948)
(140;115;1948)
(140;115;1965)
(139;116;1965)
(139;116;1966)
(139;117;1982)
(139;117;1982)
(138;118;1998)
(138;119;1998)
(138;120;2015)
(138;120;2015)
(138;121;2015)
(138;121;2032)
(138;121;2032)
(138;121;2048)
(138;121;2048)
(138;122;2065)
(137;122;2066)
(137;123;2082)
(137;124;2082)
(136;125;2082)
(136;126;2099)
(136;127;2099)
(136;128;2115)
(136;129;2115)
(136;130;2132)
(136;130;2132)
